iter	Logloss
0	0.638546501
1	0.5898357492
2	0.5454334752
3	0.5053279725
4	0.4720667805
5	0.4403265388
6	0.4130727056
7	0.3855796261
8	0.3635041938
9	0.3418999135
10	0.3250847821
11	0.3079752306
12	0.2939372058
13	0.279468893
14	0.2673241343
15	0.2552435894
16	0.2435564162
17	0.2337292261
18	0.224647661
19	0.2165795234
20	0.2093059173
21	0.202696598
22	0.1960763004
23	0.1907511248
24	0.1857535362
25	0.1813551784
26	0.1771862159
27	0.1733123245
28	0.169935893
29	0.1668555542
30	0.1637812225
31	0.161113851
32	0.1585585129
33	0.1564282096
34	0.1543950813
35	0.1524964961
36	0.1507187208
37	0.1492046178
38	0.1477565715
39	0.1463474557
40	0.1451166207
41	0.1437150758
42	0.1425343133
43	0.1414691225
44	0.1403852471
45	0.1394531855
46	0.1384564997
47	0.1377555932
48	0.137051496
49	0.1363886187
50	0.1358261863
51	0.1352744443
52	0.1347522174
53	0.1342604169
54	0.1338018331
55	0.1333665232
56	0.1329697916
57	0.1325757652
58	0.1321939677
59	0.1318461191
60	0.1315109211
61	0.1312058641
62	0.1308505518
63	0.1305553717
64	0.1303000416
65	0.1300475615
66	0.1297002962
67	0.1294828049
68	0.1292871167
69	0.1291108526
70	0.1289503561
71	0.1287923187
72	0.12863999
73	0.1284685922
74	0.1283095705
75	0.1281598021
76	0.1280379139
77	0.1278919255
78	0.1277806526
79	0.1276640274
80	0.12755448
81	0.1274387368
82	0.1273233461
83	0.1272185266
84	0.1271365803
85	0.1270389331
86	0.126958548
87	0.1268562708
88	0.1266750402
89	0.126491988
90	0.1264139692
91	0.1263471328
92	0.1262843362
93	0.1262070201
94	0.1261322844
95	0.1260519764
96	0.1259930465
97	0.1258379671
98	0.1256850465
99	0.1256330455
100	0.1255742326
101	0.1255157359
102	0.1254589878
103	0.1254026481
104	0.1252456456
105	0.1252018939
106	0.12515372
107	0.1251111387
108	0.1250631077
109	0.1249895822
110	0.124944073
111	0.1248240236
112	0.124768408
113	0.1247191878
114	0.124662977
115	0.1245779266
116	0.1244481153
117	0.1244076388
118	0.1243602779
119	0.1243160488
120	0.1242489576
121	0.1242101204
122	0.1241495279
123	0.124110319
124	0.1240787288
125	0.1240348713
126	0.1239930049
127	0.1239607035
128	0.1239228204
129	0.1238814594
130	0.123842612
131	0.1238046063
132	0.123771677
133	0.1237318485
134	0.1236940717
135	0.123657212
136	0.1236168657
137	0.1235004975
138	0.1234658317
139	0.1234034217
140	0.1233711444
141	0.1233350366
142	0.1233015776
143	0.1232712
144	0.1232395963
145	0.1232056392
146	0.1231787272
147	0.123151534
148	0.123122449
149	0.1230502141
150	0.1229462729
151	0.1229203381
152	0.1228802745
153	0.1228132073
154	0.1227775123
155	0.1227506506
156	0.1227258616
157	0.1227007791
158	0.1226787045
159	0.1225924919
160	0.1225514964
161	0.1225006371
162	0.1224716407
163	0.1224119562
164	0.1223818141
165	0.1223481585
166	0.122257283
167	0.1221750103
168	0.1220923663
169	0.1220221433
170	0.1219927216
171	0.121966708
172	0.1219342544
173	0.1219112636
174	0.1218838034
175	0.1218454091
176	0.1218226487
177	0.121793738
178	0.1217642136
179	0.1217369248
180	0.1217041446
181	0.1216817772
182	0.1216523813
183	0.1216202697
184	0.121596437
185	0.1215808679
186	0.1215515474
187	0.121525308
188	0.1214458949
189	0.1214207778
190	0.1213943642
191	0.1213700286
192	0.1213509273
193	0.1212752682
194	0.1212005129
195	0.1211328208
196	0.1211052972
197	0.1210785303
198	0.1210533777
199	0.1210265916
200	0.1210049475
201	0.1209451408
202	0.1209237582
203	0.1209033288
204	0.1208830088
205	0.12085549
206	0.1208333365
207	0.1208101128
208	0.1207952456
209	0.1207361767
210	0.1207088864
211	0.1206860285
212	0.1206683197
213	0.120632689
214	0.1206143525
215	0.1205919245
216	0.1205739277
217	0.1205493184
218	0.1205331947
219	0.1205151929
220	0.1204975618
221	0.1204721588
222	0.1204263383
223	0.1204066628
224	0.1203826055
225	0.1203585729
226	0.1203279045
227	0.1202745165
228	0.1202471495
229	0.1202272448
230	0.1202072667
231	0.1201859336
232	0.1201640352
233	0.1201445096
234	0.1201196538
235	0.1200790308
236	0.1200595201
237	0.1200364849
238	0.1200140583
239	0.1199952641
240	0.1199751124
241	0.1199585668
242	0.119920136
243	0.1198984003
244	0.1198806538
