iter	Passed	Remaining
358	77365	1000145
359	77572	999826
360	77788	999610
361	77999	999337
362	78232	999355
363	78442	999058
364	78659	998870
365	78898	998953
366	79130	998939
367	79339	998643
368	79546	998319
369	79765	998150
370	80005	998237
371	80220	998016
372	80429	997710
373	80652	997583
374	80878	997502
375	81104	997414
376	81324	997244
377	81545	997098
378	81755	996814
379	81962	996485
380	82175	996239
381	82386	995973
382	82596	995686
383	82795	995266
384	83015	995111
385	83244	995052
386	83452	994745
387	83688	994770
388	83899	994495
389	84106	994179
390	84321	993953
391	84558	993996
392	84790	993965
393	85010	993801
394	85235	993689
395	85451	993480
396	85673	993334
397	85898	993233
398	86183	993808
399	86400	993609
400	86615	993374
401	86826	993100
402	87041	992877
403	87286	992993
404	87506	992821
405	87715	992521
406	87923	992220
407	88159	992230
408	88383	992101
409	88616	992073
410	88837	991905
411	89086	992057
412	89295	991761
413	89510	991532
414	89739	991458
415	89951	991192
416	90172	991032
417	90388	990813
418	90592	990468
419	90827	990447
420	91045	990258
421	91263	990052
422	91471	989751
423	91683	989488
424	91910	989386
425	92141	989331
426	92348	989016
427	92566	988819
428	92770	988466
429	92975	988131
430	93198	987990
431	93430	987944
432	93647	987736
433	93859	987475
434	94067	987165
435	94277	986882
436	94503	986774
437	94725	986611
438	94937	986358
439	95148	986081
440	95354	985759
441	95568	985521
442	95784	985299
443	95995	985038
444	96218	984886
445	96445	984779
446	96660	984553
447	96883	984406
448	97108	984280
449	97322	984034
450	97535	983784
451	97739	983450
452	97966	983341
453	98209	983397
454	98416	983085
455	98620	982741
456	98836	982529
457	99063	982413
458	99312	982526
459	99529	982310
460	99752	982159
461	99963	981896
462	100176	981641
463	100388	981379
464	100631	981423
465	100834	981076
466	101052	980880
467	101261	980596
468	101468	980287
469	101693	980150
470	101914	979979
471	102128	979740
472	102338	979462
473	102556	979260
474	102772	979041
475	102995	978892
476	103203	978589
477	103413	978320
478	103625	978063
479	103866	978075
480	104094	977970
481	104318	977824
482	104518	977457
483	104734	977235
484	104944	976961
485	105173	976860
486	105398	976718
487	105614	976505
488	105815	976143
489	106036	975965
490	106247	975706
491	106479	975628
492	106703	975478
493	106927	975338
494	107132	975011
495	107362	974917
496	107568	974606
497	107789	974436
498	108004	974205
499	108241	974171
500	108498	974323
501	108718	974136
502	108940	973967
503	109161	973792
504	109361	973428
505	109575	973190
506	109786	972923
507	110009	972757
508	110236	972637
509	110451	972407
510	110685	972343
511	110888	972011
512	111109	971832
513	111362	971933
514	111565	971593
515	111783	971388
516	112002	971194
517	112227	971050
518	112463	970999
519	112668	970681
520	112884	970459
521	113085	970107
522	113296	969847
523	113534	969810
524	113773	969785
525	113986	969538
526	114222	969480
527	114447	969338
528	114657	969064
529	114887	968953
530	115113	968814
531	115332	968617
532	115555	968457
533	115761	968149
534	115987	968005
535	116195	967716
536	116404	967433
537	116614	967160
538	116835	966983
539	117057	966806
540	117282	966662
541	117519	966609
542	117729	966332
543	117938	966054
544	118156	965849
545	118372	965622
546	118604	965533
547	118819	965298
548	119032	965050
549	119269	964996
550	119491	964819
551	119736	964832
552	119959	964668
553	120242	964975
554	120496	965055
555	120710	964817
556	120943	964728
557	121142	964364
558	121355	964115
559	121602	964137
560	121822	963940
561	122072	963984
562	122304	963879
563	122513	963596
564	122723	963326
565	122936	963071
566	123164	962941
567	123442	963200
568	123694	963254
569	123954	963362
570	124181	963218
571	124446	963370
572	124699	963425
573	124916	963208
574	125113	962831
575	125326	962574
576	125531	962262
577	125751	962065
578	125969	961848
579	126196	961704
580	126413	961484
581	126635	961298
582	126839	960981
583	127078	960919
584	127295	960699
585	127500	960390
586	127714	960145
587	127928	959900
588	128162	959801
589	128388	959649
590	128639	959678
591	128855	959451
592	129093	959381
593	129359	959527
594	129574	959290
595	129838	959411
596	130064	959256
597	130320	959319
598	130536	959082
599	130767	958958
600	130967	958613
601	131180	958361
602	131381	958019
603	131596	957781
604	131828	957665
605	132046	957446
606	132260	957201
607	132461	956860
608	132686	956692
609	132919	956586
610	133147	956441
611	133352	956125
612	133573	955931
613	133772	955583
614	133976	955263
615	134216	955200
616	134433	954975
617	134682	954984
618	134908	954819
619	135139	954697
620	135379	954634
621	135603	954454
622	135815	954195
623	136027	953938
624	136230	953613
625	136446	953381
626	136687	953323
627	136901	953079
628	137114	952823
629	137321	952528
630	137521	952187
631	137753	952069
632	137963	951793
633	138199	951704
634	138403	951389
635	138606	951065
636	138818	950810
637	139050	950687
638	139266	950456
639	139478	950199
640	139686	949910
641	139891	949604
642	140140	949596
643	140355	949358
644	140557	949037
645	140786	948890
646	141003	948670
647	141218	948427
648	141459	948369
649	141672	948118
650	141894	947923
651	142109	947689
652	142333	947509
653	142575	947451
654	142782	947157
655	142997	946922
656	143202	946616
657	143424	946430
658	143638	946184
659	143875	946089
660	144104	945942
661	144310	945647
662	144512	945324
663	144732	945121
664	144967	945011
665	145188	944813
666	145396	944532
667	145612	944301
668	145817	944001
669	146033	943765
670	146253	943561
671	146457	943256
672	146670	943004
673	146893	942818
674	147103	942548
675	147330	942392
676	147537	942105
677	147776	942017
678	147984	941742
679	148210	941571
680	148425	941337
681	148637	941081
682	148859	940885
683	149075	940657
684	149306	940520
685	149507	940195
686	149737	940054
687	149972	939940
688	150189	939720
689	150409	939515
690	150621	939260
691	150836	939024
692	151046	938752
693	151258	938501
694	151461	938192
695	151665	937884
696	151878	937637
697	152109	937498
698	152318	937227
699	152527	936955
700	152736	936682
701	152953	936458
702	153170	936237
703	153398	936078
704	153598	935754
705	153813	935517
706	154023	935252
707	154229	934961
708	154448	934749
709	154673	934574
710	154874	934257
711	155097	934067
712	155322	933894
713	155542	933691
714	155768	933523
715	155979	933265
716	156203	933079
717	156408	932790
718	156621	932541
719	156847	932369
720	157069	932180
721	157279	931912
722	157487	931639
723	157698	931381
724	157923	931202
725	158146	931016
726	158366	930808
727	158599	930682
728	158810	930424
729	159028	930205
730	159257	930052
731	159464	929771
732	159674	929511
733	159900	929340
734	160106	929054
735	160326	928847
736	160545	928635
737	160746	928320
738	160952	928036
739	161158	927753
740	161378	927547
741	161605	927382
742	161812	927102
743	162057	927038
744	162283	926870
745	162513	926718
746	162732	926509
747	162969	926396
748	163185	926172
749	163400	925933
750	163604	925637
751	163810	925356
752	164049	925254
753	164260	924998
754	164467	924719
755	164675	924447
756	164907	924307
757	165118	924054
758	165334	923827
759	165561	923657
760	165780	923445
761	165999	923238
762	166222	923045
763	166459	922937
764	166673	922693
765	166878	922405
766	167082	922111
767	167287	921822
