iter	Logloss
0	0.6435973344
1	0.598639491
2	0.5579784916
3	0.5213818043
4	0.4885478884
5	0.4592176565
6	0.4324520675
7	0.4085817044
8	0.3867845719
9	0.3667976562
10	0.3484626866
11	0.3326974873
12	0.3179804103
13	0.3046004112
14	0.2921545883
15	0.2809204916
16	0.2711611477
17	0.2620986155
18	0.2535552669
19	0.2459711588
20	0.2389236706
21	0.2324791459
22	0.2266937873
23	0.221415855
24	0.2165501053
25	0.2120652829
26	0.207956477
27	0.2042583415
28	0.2008169842
29	0.1977046397
30	0.1948212643
31	0.1921486001
32	0.1897323142
33	0.1874507815
34	0.1853381455
35	0.1834294701
36	0.1817170037
37	0.1800476665
38	0.1785750664
39	0.1771532749
40	0.1758392726
41	0.1745895487
42	0.1735065041
43	0.1724388013
44	0.1714128471
45	0.1704925419
46	0.1696513739
47	0.1688459924
48	0.1680721196
49	0.1673695647
50	0.166729933
51	0.1661189009
52	0.1656416096
53	0.1651176396
54	0.1646889849
55	0.1642049228
56	0.1637321855
57	0.1633710314
58	0.1630236606
59	0.1626493607
60	0.1622836349
61	0.1619204059
62	0.1616039662
63	0.1612852703
64	0.1609883589
65	0.1607386736
66	0.1604857833
67	0.1602276038
68	0.159979883
69	0.1597843875
70	0.1596023245
71	0.1594426619
72	0.1592638835
73	0.1590880074
74	0.1589096867
75	0.1587719234
76	0.1585940929
77	0.1584562378
78	0.158319702
79	0.1581671177
80	0.1580178685
81	0.157879927
82	0.1577804036
83	0.1576555737
84	0.1575581886
85	0.1574527209
86	0.1573423438
87	0.157238142
88	0.1571252631
89	0.1570331555
90	0.1569409331
91	0.1568439408
92	0.1567770992
93	0.1567088392
94	0.1566378994
95	0.1565329386
96	0.1564647766
97	0.1563885327
98	0.1563031311
99	0.156242101
100	0.1561817637
101	0.1561039369
102	0.1560340517
103	0.1559710193
104	0.1558960266
105	0.1558326786
106	0.1557866448
107	0.155716274
108	0.1556587437
109	0.155589526
110	0.1555437197
111	0.1554925111
112	0.1554360132
113	0.1553815978
114	0.1553400799
115	0.1552972679
116	0.1552405477
117	0.155184641
118	0.155135291
119	0.1550817417
120	0.1550149117
121	0.1549667151
122	0.1549213223
123	0.1548534111
124	0.1548129689
125	0.1547472889
126	0.1546987854
127	0.1546505895
128	0.1546028545
129	0.1545632498
130	0.1545161766
131	0.1544659508
132	0.154425078
133	0.154385599
134	0.1543434218
135	0.1542947371
136	0.154247857
137	0.1542079119
138	0.1541591344
139	0.154109687
140	0.1540749535
